Name,Version,Repository,License
Newtonsoft.Json,10.0.3,https://www.newtonsoft.com/json,https://raw.github.com/JamesNK/Newtonsoft.Json/master/LICENSE.md
RestSharp,105.2.3,http://restsharp.orgc/,https://github.com/restsharp/RestSharp/blob/master/LICENSE.txt
